Date,ADDYY,NKE
2017-06-06,91.61193084716797,50.14613723754883
2017-06-07,92.94062042236328,50.86278533935547
2017-06-08,90.98609161376953,50.834110260009766
2017-06-09,91.41935729980469,51.082550048828125
2017-06-12,92.87320709228516,51.6272087097168
2017-06-13,95.22248840332031,51.894752502441406
2017-06-14,96.28157806396484,52.22917938232422
2017-06-15,93.39313507080078,50.54745864868164
2017-06-16,93.98045349121094,48.82749938964844
2017-06-19,94.02859497070312,49.70659255981445
2017-06-20,92.3051528930664,49.26704788208008
2017-06-21,91.83336639404297,50.25123596191406
2017-06-22,90.98609161376953,50.06969451904297
2017-06-23,90.88018798828125,50.499671936035156
2017-06-26,90.87055206298828,50.910552978515625
2017-06-27,91.54452514648438,50.59524154663086
2017-06-28,92.37255859375,50.986995697021484
